Destination,Distance,DestinationFull,DistanceKm
,,"Budapest, Hungary",1585.8812334997526
,,"Sofia, Bulgaria",1765.4016849326845
,,"Warsaw Modlin, Poland",1987.521228018876
,,"Krakow, Poland",1789.250417387003
,,"Naples, Italy",996.7221150276982
,,"Pisa, Italy",792.6339665139063
,,"Knock, Ireland",1806.923034581809
,,"Wroclaw, Poland",1701.3568738047377
,,"Poznan, Poland",1797.6704164681437
,,"Kaunas, Lithuania",2325.615109619801
,,"Göteborg Landvetter, Sweden",2128.765725312336
,,"Vitoria (Basque Country), Spain",575.7363208901082
,,"Warsaw Chopin, Poland",1984.9247424117373
